station,Date,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
HUA,1/3/20 13:13,OVC,M,M,700,M,M,BR
HUA,1/3/20 13:18,OVC,M,M,700,M,M,BR
HUA,1/3/20 13:28,OVC,M,M,600,M,M,#NAME?
HUA,1/3/20 13:38,OVC,M,M,700,M,M,#NAME?
HUA,1/3/20 13:48,OVC,M,M,500,M,M,RA BR
HUA,1/3/20 13:58,SCT,OVC,M,200,700,M,#NAME?
HUA,1/3/20 14:58,FEW,OVC,M,400,800,M,BR
HUA,1/3/20 15:08,BKN,BKN,OVC,1000,4900,7000,#NAME?
HUA,1/3/20 15:58,OVC,M,M,7000,M,M,#NAME?
HUA,1/3/20 16:58,OVC,M,M,8000,M,M,#NAME?
HUA,1/3/20 17:58,SCT,OVC,M,6000,8000,M,M
HUA,1/3/20 18:58,FEW,OVC,M,600,9000,M,#NAME?
HUA,1/3/20 19:38,OVC,M,M,700,M,M,BR
HUA,1/3/20 19:58,BKN,OVC,M,700,1400,M,#NAME?
HUA,1/3/20 20:58,BKN,BKN,OVC,500,900,9000,#NAME?
HUA,1/3/20 21:28,FEW,SCT,OVC,600,1200,2500,#NAME?
HUA,1/3/20 21:48,SCT,OVC,M,2500,9000,M,#NAME?
HUA,1/3/20 21:58,FEW,OVC,M,2100,9000,M,#NAME?
HUA,1/3/20 22:18,FEW,BKN,OVC,700,1600,9000,#NAME?
HUA,1/3/20 22:28,SCT,BKN,OVC,1800,3200,7000,#NAME?
HUA,1/3/20 22:58,FEW,SCT,OVC,1200,1800,6500,#NAME?
HUA,1/3/20 23:08,BKN,OVC,M,1500,8500,M,#NAME?
HUA,1/3/20 23:28,BKN,OVC,M,1600,3000,M,#NAME?
HUA,1/3/20 23:38,BKN,OVC,M,1400,3000,M,M
HUA,1/3/20 23:58,SCT,BKN,BKN,400,1200,1700,#NAME?
HUA,1/4/20 0:08,BKN,BKN,BKN,400,1700,2500,#NAME?
HUA,1/4/20 0:18,BKN,OVC,M,500,2100,M,#NAME?
HUA,1/4/20 0:58,SCT,OVC,M,600,1900,M,M
